"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"(sd-pam)","838",,"23298048","2256896","1441792","0",,"(sd-pam)","System.Diagnostics.Process (systemd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3280","0",,"False","8/15/2025 1:32:17 AM",,"839",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","1441792","1441792","1441792","1441792","0","0","3698688","3698688","23298048","23298048","False","Normal","1060864","1060864","15","838",,"System.Diagnostics.ProcessThreadCollection",,"23298048","23298048","False",,,,"2256896","2256896",,,"0","","True","(sd-pam)","00:00:00","00:00:00","00:00:00",,
"accounts-daemon","553",,"316039168","6508544","655360","0",,"/usr/libexec/accounts-daemon","System.Diagnostics.Process (systemd)",,"0.38",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3420","0",,"False","8/15/2025 1:32:02 AM",,"553",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","655360","655360","655360","655360","0","0","7176192","7176192","382877696","382877696","False","Normal","34852864","34852864","15","553",,"System.Diagnostics.ProcessThreadCollection",,"316039168","316039168","False",,,,"6508544","6508544",,,"0","","True","accounts-daemon","00:00:00.2400000","00:00:00.3800000","00:00:00.1400000",,
"agent","885","7","315568128","5906432","524288","0","/usr/libexec/geoclue-2.0/demos/agent","/usr/libexec/geoclue-2.0/demos/agent","System.Diagnostics.Process (xfce4-session)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","892","0",,"False","8/15/2025 1:32:20 AM",,"1218",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","524288","524288","524288","524288","0","0","6430720","6430720","382676992","382676992","False","Normal","34578432","34578432","15","885",,"System.Diagnostics.ProcessThreadCollection","7","315568128","315568128","False",,,,"5906432","5906432",,"System.Diagnostics.ProcessModule (agent)","0","","True","agent","00:00:00","00:00:00","00:00:00",,
"agetty","703",,"7163904","1888256","131072","0",,"/sbin/agetty -o -p -- \u --noclear - linux","System.Diagnostics.Process (systemd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2380","0",,"False","8/15/2025 1:32:02 AM",,"703",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","131072","131072","131072","131072","0","0","2150400","2150400","7163904","7163904","False","Normal","380928","380928","15","703",,"System.Diagnostics.ProcessThreadCollection",,"7163904","7163904","False",,,,"1888256","1888256",,,"0","","True","agetty","00:00:00","00:00:00","00:00:00",,
"applet.py","885","9","67244032","27746304","11141120","0","/usr/bin/python3.13","/usr/bin/python3 /usr/share/system-config-printer/applet.py","System.Diagnostics.Process (xfce4-session)",,"0.89",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3240","0",,"False","8/15/2025 1:32:19 AM",,"1172",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","11141120","11141120","11141120","11141120","0","0","42557440","42557440","67334144","67334144","False","Normal","21196800","21196800","15","885",,"System.Diagnostics.ProcessThreadCollection","9","67244032","67244032","False",,,,"27746304","27746304",,"System.Diagnostics.ProcessModule (python3.13)","0","","True","applet.py","00:00:00.3900000","00:00:00.8900000","00:00:00.5000000",,
"at-spi-bus-launcher","992","11","390053888","6897664","524288","0","/usr/libexec/at-spi-bus-launcher","/usr/libexec/at-spi-bus-launcher","System.Diagnostics.Process (systemd)",,"0.02",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2916","0",,"False","8/15/2025 1:32:18 AM",,"992",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","524288","524288","524288","524288","0","0","7684096","7684096","457162752","457162752","False","Normal","43290624","43290624","15","992",,"System.Diagnostics.ProcessThreadCollection","11","390053888","390053888","False",,,,"6897664","6897664",,"System.Diagnostics.ProcessModule (at-spi-bus-launcher)","0","","True","at-spi-bus-launcher","00:00:00.0100000","00:00:00.0200000","00:00:00.0100000",,
"at-spi2-registryd","992","9","239800320","7225344","393216","0","/usr/libexec/at-spi2-registryd","/usr/libexec/at-spi2-registryd --use-gnome-session","System.Diagnostics.Process (systemd)",,"29.24",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2668","0",,"False","8/15/2025 1:32:18 AM",,"1010",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","393216","393216","393216","393216","0","0","7880704","7880704","239800320","239800320","False","Normal","26378240","26378240","15","992",,"System.Diagnostics.ProcessThreadCollection","9","239800320","239800320","False",,,,"7225344","7225344",,"System.Diagnostics.ProcessModule (at-spi2-registryd)","0","","True","at-spi2-registryd","00:00:18.8200000","00:00:29.2400000","00:00:10.4200000",,
"blueman-applet","885","18","541175808","32886784","15335424","0","/usr/bin/python3.13","/usr/bin/python3 /usr/bin/blueman-applet","System.Diagnostics.Process (xfce4-session)",,"3.05",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3780","0",,"False","8/15/2025 1:32:19 AM",,"1196",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","15335424","15335424","15335424","15335424","0","0","63123456","63123456","544309248","544309248","False","Normal","70017024","70017024","15","885",,"System.Diagnostics.ProcessThreadCollection","18","541175808","541175808","False",,,,"32886784","32886784",,"System.Diagnostics.ProcessModule (python3.13)","0","","True","blueman-applet","00:00:01.1100000","00:00:03.0500000","00:00:01.9400000",,
"chrome_crashpad_handler","1335764","6","34382618624","3497984","131072","0","/usr/share/code/chrome_crashpad_handler","/usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/kali/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=997bd522-f82c-4d09-8864-a348f36acfe4&iid=997bd522-f82c-4d09-8864-a348f36acfe4&sid=997bd522-f82c-4d09-8864-a348f36acfe4 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.96.2 --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=32.2.6 --initial-client-fd=45 --shared-client-connection","System.Diagnostics.Process (systemd)",,"0.02",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1956","0",,"False","8/17/2025 7:12:11 AM",,"1335765",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","131072","131072","131072","131072","0","0","3629056","3629056","34382618624","22880256","False","Normal","17473536","17473536","15","1335764",,"System.Diagnostics.ProcessThreadCollection","6","34382618624","22880256","False",,,,"3497984","3497984",,"System.Diagnostics.ProcessModule (chrome_crashpad_handler)","0","","True","chrome_crashpad_handler","00:00:00","00:00:00.0200000","00:00:00.0200000",,
"code","885","173","1243635916800","260431872","16908288","0","/usr/share/code/code","/usr/share/code/code /home/kali/CSCI1411-Fall2025/README.md","System.Diagnostics.Process (systemd)",,"70.72",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2060","0",,"False","8/17/2025 7:12:11 AM",,"1335738",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","16908288","16908288","16908288","16908288","0","0","293822464","293822464","1275715514368","110227456","False","Normal","1053102080","1053102080","15","885",,"System.Diagnostics.ProcessThreadCollection","173","1243635916800","-1904599040","False",,,,"260431872","260431872",,"System.Diagnostics.ProcessModule (code)","0","","True","code","00:00:29.7600000","00:01:10.7200000","00:00:40.9600000",,
